file_name,text_extract,supp_name,supp_vat,date,amount,currency
Coop market (169)," coop Für mich und dich. Zürich Puls 5 Artikel Menge Preis Aktion Total Spaghetti Amatricana 1 4.95 2.45 2.45 0 L TOTAL CHF 2.45 BAR 2.50 Zurück CHF -0.05 COOP GENOSSENSCHAFT, CHE-116.311.185 MWST GR MWST% TOTAL MWST 0 2.50 2.45 0.06 Sie sparen 2.50 Anzahl gekaufter Artikel 1 SUPERCARD NR.: 2501******4096 ALTER PUNKTESTAND SALDO 10398 SUB-/TOTAL EXCL.* 2.45 2 SUPERPUNKTE AUS EINKAUF 2 NEVER PUNKTESTAND SALDO 10400 ES BEDIENTE SIE Frau Tripkovic Danke viel Mal für Ihre Ichauf 9900020775524102000002455180 24.10.20 18:48 07755 00225451 002 0005180",COOP GENOSSENSCHAFT,CHE-116.311.185,24.10.2020,2.45,CHF
Coop market (8)," coop Für mich und dich. Dietikon Silbern Artikel Menge Preis Aktion Total Big Silsergipfel 2 1.30 2.60 0 TOTAL CHF 2.60 BAR 3.00 Rückgeld -0.40 COOP GENOSSENSCHAFT, CHE-116.311.185 MWST GR MWST% TOTAL HWST 0 2.50 2.60 0.06 Anzahl gekaufter Artikel 2 ES BEDIENTE SIE Coop Self-Checkout Viele Dank für Ihre Ichauf 9900280696919112000002602830 19.11.20 10:49 06969 00007028 028 0002830",COOP GENOSSENSCHAFT,CHE-116.311.185,19.11.2020,2.6,CHF
Post (39), DIEPOST 8600 Dübendorf 1 17.04.2018 / 17:32 / $4 Bestätigung Quittung Post CH AG Wankdorfallee 4 3030 Bern UID: CHE-116.302.542 MWST CHF 1 Einschreiben (R) (9) 6.30 Nr 98.00.860001.04006705 kg 0.012 Empfänger: Dordevic Dragan 5243 Mülligen Total CHF 6.30 Bargeld ein -6.30 Rückgeld 0.00 (9): inkl. MWSt(7.7%) 0.45 Code mit der Post-App scannen und Sendung(en) verfolgen. Bewahren Sie diese Quittung sorgfältig auf. www.post.ch Kundendienst 0848 888 888 Besten Dank für Ihren Besuch,Post CH AG,CHE-116.302.542,17.04.2018,6.3,CHF
Denner market (61)," DENNER Dübendorf Wallisellenstrasse 17 8600 Dübendorf 058 999 06 61 M Bezeichnung Betrag B D-Vollrahm UHT 500ml 4 X 3.15 12.60 Total CHF 12.60 Bargeld CHF 13.00 Rückgeld CHF 0.40 B MWSt. 2.5% 12.60 0.31 Total MWSt: 12.60 0.31 MwSt Nr. CHE-105.904.292 MWST Es bediente Sie: X. MORINA Besten Dank für Ihren Einkauf! Auf Wiedersehen, Ihr Denner Team. Immer aktuell informiert mit dem Denner Newsletter unter www.denner.ch 28.09.2018 17:36 #:53479 C:66102 6665347905433557",DENNER Dübendorf,CHE-105.904.292,28.09.2018,12.6,CHF
Post (28), DIE POST 8034 Zürich 34 Riesbach 30.06.2020 / 11:04 / S2 Bestätigung Quittung Post CH AG Wankdorfallee 4 3030 Beit UID: CHE-116.302.542 MWST CHF 1 A-Post Plus bis B4 (9) 5.20 Nr 98.01.803400.02402210 kg 0.170 5.20 Total CHF Maestro Contactless -5.20 Buchung Karte Nr. xxxx4202 Trx-Seq.Nr.: 53675 Trm_ID: 23975086 Aut-Code: 110824 0.00 Rückgeld (9): inkl. MWSt (7.7%) 0.37 Code mit der Post-App scannen und Sendung(en) verfolgen. Bewahren Sie diese Quittung sorgfältig auf. www.post.ch Contact Center 0848 888 888 Besten Dank für Ihren Besuch,Post CH AG,CHE-116.302.542,30.06.2020,5.2,CHF
Migros market (175), MIGROS GENOSSENSCHAFT MIGROS ZÜRICH MM DOBENDORF TEL. 044 801 66 77 --- UNSERE OEFFNUNGSZEITEN MO-SA: 08:00-20:00 CHF Valflora Milch HP 1.25 1 AKT Tangan Beutel N.14 3.90 2 Kleenex Collection FSC 2.20 2 Caprice des Dieux 4.85 1 AKT MClass Blätterteig 1.60 1 MClass Wienerli 2.50 1 Ferrero Mon Chéri 4.95 1 TOTAL 21.25 BAR 22.00 ZURUECK 0.75 MWST-NUMMER: CHE-105.970.604 MWST GR MWST% TOTAL MWST 1 2.50 15.15 0.37 2 7.70 6.10 0.44 CUMULUS-NUMMER: 2099.317.932.119 ERHALTENE PUNKTE: 21.250 ANZAHL SACHETS FÜR DIESEN EINKAUF 1 FAMIGROS-MITGLIEDER: +1 STICKER BESTEN DANK FÜR IHREN EINKAUF! 0010323219100100002125 ART 00007 TRANSAKTION: 03232 C BEDIEN. KNR KST. DATUM ZEIT 0000105 001 150054 19.12.2019 10:01,MIGROS GENOSSENSCHAFT,CHE-105.970.604,19.12.2019,21.25,CHF
Da Paulo (75), RISTORANTE DA PAULO CUCINA ITALIANA & STEAK HOUSE Goldschlägiplatz 2 8952 Schlieren www.dapaulo.ch Tel: 044 730 21 21 Rechnung 3351 12.04.2019 TISCH 70 22:02:12 2 Coca Cola 5.30 10.60 1 Cordonbleu Schwein 29.50 29.50 1 Espresso 4.60 4.60 1 Kaffee Creme 4.60 4.60 2 Stange 3dl 4.70 9.40 1 1 dl Pinot Grigio 7.20 7.20 1 KalbssnitzelSpargel 39.50 39.50 1 Spargelsalat 14.50 14.50 3 Aperol Spritz 12.00 36.00 1 K1.SteakSalat 13.50 13.50 1 Vanilla Berries 10.50 10.50 1 Maple Walnut 10.50 10.50 1 +100g 10.00 10.00 1 + 6.00 SFr. 6.00 6.00 Rechnungsbetrag Fr. 206.40 . Eur 187.60 MWST NETTO STEUER BRUTTO 1=7.7% 191.64 14.76 206.40 Es bediente Sie Naki Vielen Dank und auf Wiedersehen bis zum nächsten mal..... CHE-292.794.521 MWST,RISTORANTE DA PAULO CUCINA ITALIANA & STEAK HOUSE,CHE-292.794.521,12.04.2019,206.4,CHF
Da Paulo (96), RISTORANTE DA PAULO CUCINA ITALIANA & STEAK HOUSE Goldschlägiplatz 2 8952 Schlieren www.dapaulo.ch Tel: 044 730 21 21 Rechnun g 3641 30.04.2018 TISCH 76 21:22:22 1 Cola Zero 5.00 5.00 1 San Pell. 5dl 6.00 6.00 1 Kaffee Creme 4.50 4.50 1 Primeburger150g 26.50 26.50 1 Spargel Milanese 28.50 28.50 3 Pros. Spumante 9.50 28.50 1 Bruschetta 8.50 8.50 Rechnungsbetrag Fr. 107.50 Eur 97.70 MWST NETTO STEUER BRUTTO 1 = 7.7 % 99.81 7.69 107.50 Es bediente Sie Naki Vielen Dank und auf Wiedersehen bis zum nächsten mal... CHE-292.794.521 MWST,RISTORANTE DA PAULO CUCINA ITALIANA & STEAK HOUSE,CHE-292.794.521,30.04.2018,107.5,CHF
Migros market (206), MIGROS GENOSSENSCHAFT MIGROS ZÜRICH error i_MM DOBENDORF TEL. 044 801 66 77 --- UNSERE OEFFNUNGSZEITEN MO-SA: 08:00-20:00 CHF Gurke 2 2.10 4.20 1 Kopfsalat rot 2.40 1 Kopfsalat 2.40 1 Eisbergsalat 2.90 1 AKT Broccoli 2.00 1 Fenchel 4.25 1 TOTAL 18.15 BAR 20.00 ZURUECK 1.85 MWST-NUMMER: CHE-105.970.604 MWST GR MWST% TOTAL MWST 1 2.50 18.15 0.44 CUMULUS-NUMMER: 2099.317.932.119 ERHALTENE PUNKTE: 18.150 ANZAHL STICKER FÜR DIESEN EINKAUF 0 BESTEN DANK FÜR IHREN EINKAUF! 0070103615102400001815 ART 00007 TRANSAKTION: 01036 C BEDIEN. KNR KST. DATUM ZEIT 0000103 007 150054 15.09.2018 10:24,MIGROS GENOSSENSCHAFT,CHE-105.970.604,15.09.2018,18.15,CHF
Jumbo (2)," JUMBO DO IT P DECO 4 GARDEN Jumbo Suhr, 5034 Suhr Alte Bernstrasse Ost 48 Tel: +41(0)62 855 20 70 www.jumbo.ch 13/06/2020 10:08:42 16503650 058 03 130 Artikel Menge Preis Aktion Total KEHRGARNITUR 7613164585523 1 4.00 4.00 VG KAB 072M 1X4X0.6 GRAU H 7612378112792 3 47.95 143.85 5 Artikel 4 Zwischentotal 147.85 TOTAL CHF 147.85 Maestro-CH 147.85 *** Kundenbeleg *** Buchung Maestro XXXXXXXXXXXXXXX6540 13.06.2020 10:08:29 Trm-Id: 31493040 AID: A0000000043060 Trx. Ref-No: 28789172468 Auth. Code: 005406 Acq-Id: 00000000002 Total-EFT CHF: 147.85 Jumbo-Markt AG, 8305 Dietlikon, CHE-116.267.650 MWST MwSt. 5 (7.7%): 10.57 CHF auf 147.85 CHF Ihre Meinung zählt! Geben Sie uns Ihr Feedback und gewinnen Sie mit etwas Glück JUMBO Geschenkkarten im Wert von insgesamt CHF 1'000.- www.jumbo.ch/survey (165.03.650 058 20) Umtausch oder Rückerstattung innert 30 Tagen mit Verpackung und Kassenticket. Garantiebestimmungen auf Rückseite. Kassenticket lichtgeschützt aufbewahren. Danke für Ihren Einkauf! Sie wurden bedient von der Reservekasse 1 165036500582000",Jumbo Suhr,CHE-116.267.650,13.06.2020,147.85,CHF
